formula,atom a,atom b,a,b,c,alpha,beta,gamma,bandgap,lowest distortion,vpa,mub,eform oxygen,e_form,e_hull,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
LaSnO3,La,Sn,4.169,4.169,4.169,90,90,90,0,cubic,14.488,0.003,2.916,-2.298,0.525,La1 Sn1 O3,8,57,49,26.2,21.84,8,13,87,74,70.8,23.12,87,15.9994,138.90547,122.90607,61.122734,54.1480008,15.9994,54.8,1193,1138.2,372.496,381.2352,54.8,3,16,13,13,4,16,2,6,4,3.4,1.68,2,66,207,141,108.8,51.36,66,1.1,3.44,2.34,2.676,0.9168,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,10,10,2.2,3.12,0,0,0,0,0,0,0,3,14,11,7,2.8,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,2,9,7,3.8,2.16,2,9.105,36.8975,27.7925,19.4995,12.4734,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,74.2,74.64,12,La3+1 Sn3+1 O2-3,-2,3,5,3.273268354
TlScO3,Tl,Sc,5.49,5.647,8.053,90,90,90,1.265,orthorhombic,12.484,0,-2.416,-2.296,0.077,Tl1 Sc1 O3,8,81,73,25.2,22.32,8,11,87,76,69.6,23.44,87,15.9994,204.3833,188.3839,59.4674824,57.96632704,15.9994,54.8,1814,1759.2,511.08,547.536,54.8,3,16,13,12.8,3.92,16,2,6,4,3.2,1.44,2,66,170,104,102.6,43.92,66,1.36,3.44,2.08,2.66,0.936,3.44,2,2,0,2,0,2,0,4,4,2.6,1.68,4,0,10,10,2.2,3.12,0,0,14,14,2.8,4.48,0,3,27,24,9.6,6.96,6,0,0,0,0,0,0,0,5,5,2.2,1.12,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,2,9,7,4,2.4,2,9.105,26.91,17.805,15.292,7.4244,9.105,0,0,0,0,0,0,0,6.35E-06,6.35E-06,1.27E-06,2.03E-06,0,12,194,182,84.8,87.36,12,Tl3+1 Sc3+1 O2-3,-2,3,5,3.273268354
SmWO3,Sm,W,3.975,3.975,3.975,90,90,90,0,cubic,12.562,0.003,1.933,-2.296,0.534,Sm1 W1 O3,8,74,66,32,28.8,8,23,87,64,67,24,87,15.9994,183.84,167.8406,76.43964,72.528288,15.9994,54.8,3695,3640.2,1040.88,1183.296,54.8,3,16,13,11.4,5.52,16,2,6,4,3.6,1.92,2,66,198,132,111.6,54.72,66,1.17,3.44,2.27,2.77,0.804,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,4,4,0.8,1.28,0,0,14,14,4,4.8,0,6,20,14,9.2,4.32,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,6,6,1.2,1.92,0,0,8,8,1.6,2.56,0,2,8,6,4,2.4,2,9.105,33.23,24.125,15.319,7.4568,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,86.2,89.04,12,Sm3+1 W3+1 O2-3,-2,3,5,3.273268354
PmCaO3,Pm,Ca,4.146,4.146,4.146,90,90,90,0,cubic,14.252,0.2,-2.197,-2.296,0.833,Pm1 Ca1 O3,8,61,53,21,16,8,7,87,80,57.8,35.04,87,15.9994,145,129.0006,46.61524,39.353904,15.9994,54.8,1373,1318.2,530.48,570.816,54.8,2,16,14,10.6,6.48,16,2,6,4,3.2,1.44,2,66,199,133,114.6,58.32,66,1,3.44,2.44,2.495,1.134,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,0,0,0,0,0,0,5,5,1,1.6,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,9,9,1.8,2.88,0,0,9,9,3,2.4,2,9.105,37.77,28.665,19.7855,12.8166,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Pm0+1 Ca0+1 O0+3,0,0,0,0
ErCuO3,Er,Cu,5.179,5.849,7.137,90,90,90,0.269,orthorhombic,10.81,0,0.539,-2.296,0.052,Er1 Cu1 O3,8,68,60,24.2,19.44,8,35,87,52,72,18,87,15.9994,167.259,151.2596,55.76064,47.713488,15.9994,54.8,1770,1715.2,658.434,724.3608,54.8,3,16,13,12.4,4.32,16,2,6,4,3.2,1.44,2,66,189,123,103.8,45.36,66,1.24,3.44,2.2,2.692,0.8976,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,10,10,2,3.2,0,0,12,12,2.4,3.84,0,6,14,8,8.6,3.12,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,2,2,0.4,0.64,0,1,2,1,1.8,0.32,2,9.105,30.585,21.48,13.794,6.7164,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Er3+1 Cu3+1 O2-3,-2,3,5,3.273268354
PaCdO3,Pa,Cd,5.684,6.127,8.178,90,90,90,1.702,orthorhombic,14.24,0.2,-1.407,-2.295,0.072,Pa1 Cd1 O3,8,91,83,32.6,29.52,8,18,87,69,69.8,20.72,87,15.9994,231.03586,215.03646,78.289012,74.7475344,15.9994,54.8,1845,1790.2,520.724,559.1088,54.8,3,16,13,12.6,4.08,16,2,7,5,3.6,1.92,2,66,200,134,108.4,50.88,66,1.5,3.44,1.94,2.702,0.8856,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,10,10,2.2,3.12,0,0,2,2,0.4,0.64,0,5,12,7,7,2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,12,12,2.4,3.84,0,0,21,21,5.4,6.24,2,9.105,25.18,16.075,14.398,6.3516,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,73.8,74.16,12,Pa4+1 Cd2+1 O2-3,-2,4,6,3.380617019
VUO3,V,U,4.308,4.308,4.308,90,90,90,0,cubic,15.994,0.601,1.009,-2.295,0.901,V1 U1 O3,8,92,84,27.8,25.68,8,20,87,67,65.4,25.92,87,15.9994,238.02891,222.02951,67.393722,68.2540752,15.9994,54.8,2183,2128.2,751.08,835.536,54.8,3,16,13,11.2,5.76,16,2,7,5,3.4,1.68,2,66,196,130,109.4,52.08,66,1.38,3.44,2.06,2.666,0.9288,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,3,3,0.8,0.96,0,0,3,3,0.6,0.96,0,5,6,1,5.8,0.32,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,3.2,3.84,0,0,11,11,2.2,3.52,0,2,20,18,6.6,5.52,2,9.105,20.025,10.92,12.07,3.558,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,65.6,65.36,12,V3+1 U3+1 O2-3,-2,3,5,3.273268354
SrTcO3,Sr,Tc,5.587,5.596,7.918,90,90,90,0,orthorhombic,12.379,0.254,4.148,-2.295,-0.097,Sr1 Tc1 O3,8,43,35,21,15.6,8,8,87,79,64.4,27.12,87,15.9994,98,82.0006,46.72364,36.869088,15.9994,54.8,2430,2375.2,728.88,808.896,54.8,2,16,14,11.4,5.52,16,2,5,3,3.2,1.44,2,66,195,129,108,50.4,66,0.95,3.44,2.49,2.634,0.9672,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,54.23,45.125,19.166,14.0256,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Sr2+1 Tc4+1 O2-3,-2,4,6,3.380617019
GaThO3,Ga,Th,4.515,4.515,4.515,90,90,90,0,cubic,18.411,-0.178,-0.24,-2.295,0.948,Ga1 Th1 O3,8,90,82,29,25.2,8,16,87,71,70.2,21.68,87,15.9994,232.03806,216.03866,69.951852,64.8344832,15.9994,54.8,2023,1968.2,498.062,609.9752,54.8,3,16,13,12.8,3.92,16,2,7,5,3.4,1.68,2,66,206,140,105.2,47.04,66,1.3,3.44,2.14,2.686,0.9048,3.44,2,2,0,2,0,2,0,4,4,2.6,1.68,4,0,10,10,2.4,3.04,0,0,0,0,0,0,0,4,13,9,7,2.4,6,0,0,0,0,0,0,0,5,5,2.2,1.12,2,0,8,8,1.6,2.56,0,0,0,0,0,0,0,2,8,6,3.8,2.16,2,9.105,32.37,23.265,15.7085,7.9242,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,65,64,12,Ga2+1 Th4+1 O2-3,-2,4,6,3.380617019
CeNiO3,Ce,Ni,5.387,5.473,7.673,90,90,90,0,orthorhombic,11.311,0.2,1.523,-2.294,-0.037,Ce1 Ni1 O3,8,58,50,22,16.8,8,15,87,72,67.4,23.52,87,15.9994,140.116,124.1166,49.36152,40.034544,15.9994,54.8,1728,1673.2,592.68,645.456,54.8,3,16,13,12.2,4.56,16,2,6,4,3.2,1.44,2,66,204,138,105.2,47.04,66,1.12,3.44,2.32,2.67,0.924,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,8,8,1.8,2.48,0,0,1,1,0.2,0.32,0,4,10,6,6.4,1.44,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,2.2,2.72,0,0,13,13,2.6,4.16,0,2,22,20,6,6.4,2,9.105,37.24,28.135,14.975,8.906,9.105,0,0,0,0,0,0,0,0.5953947,0.5953947,0.11907894,0.190526304,0,12,225,213,91,94.8,12,Ce4+1 Ni2+1 O2-3,-2,4,6,3.380617019
CeRuO3,Ce,Ru,5.43,5.9,7.867,90,90,90,0,orthorhombic,12.6,0.198,1.968,-2.294,0.037,Ce1 Ru1 O3,8,58,50,25.2,20.64,8,15,87,72,66.4,24.72,87,15.9994,140.116,124.1166,57.83684,50.204928,15.9994,54.8,2607,2552.2,768.48,856.416,54.8,3,16,13,11.8,5.04,16,2,6,4,3.4,1.68,2,66,204,138,109.6,52.32,66,1.12,3.44,2.32,2.728,0.8544,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,7,7,1.6,2.16,0,0,1,1,0.2,0.32,0,4,8,4,6,0.8,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,9,9,2.4,2.88,0,0,13,13,2.6,4.16,0,2,22,20,6.4,6.24,2,9.105,37.24,28.135,15.613,8.6508,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,Ce3+1 Ru3+1 O2-3,-2,3,5,3.273268354
