formula,atom a,atom b,a,b,c,alpha,beta,gamma,bandgap,lowest distortion,vpa,mub,e_form,eform oxygen,e_hull,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
LuCdO3,Lu,Cd,4.071,4.071,4.071,90,90,90,0,cubic,13.49,0,-1.455,-1.468,1.021,Lu1 Cd1 O3,8,71,63,28.6,24.72,8,41,87,46,74.4,15.12,87,15.9994,174.9668,158.9674,67.0752,61.29096,15.9994,54.8,1936,1881.2,538.924,580.9488,54.8,3,16,13,12.6,4.08,16,2,6,4,3.4,1.68,2,66,187,121,105.8,47.76,66,1.27,3.44,2.17,2.656,0.9408,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,10,10,2.2,3.12,0,0,14,14,2.8,4.48,0,6,17,11,9.4,4.08,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,0,9,9,3,2.4,2,9.105,28.865,19.76,15.135,7.236,9.105,0,0,0,0,0,0,0,0.0022471,0.0022471,0.00044942,0.000719072,0,12,194,182,84.8,87.36,12,Lu0+1 Cd0+1 O0+3,0,0,0,0
NiSiO3,Ni,Si,3.495,3.495,3.495,90,90,90,0,cubic,8.536,0.4,-1.453,0.759,0.91,Ni1 Si1 O3,8,28,20,13.2,6.24,8,61,87,26,80,8.4,87,15.9994,58.6934,42.694,26.95542,13.147224,15.9994,54.8,1728,1673.2,715.88,793.296,54.8,10,16,6,14.4,1.92,16,2,4,2,2.6,0.72,2,66,124,58,86.6,24.72,66,1.9,3.44,1.54,2.826,0.7368,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,8,8,1.6,2.56,0,0,0,0,0,0,0,4,10,6,6.4,1.44,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,2,2,0.4,0.64,0,0,0,0,0,0,0,2,4,2,2.4,0.64,2,9.105,20.44,11.335,11.615,3.53,9.105,0,0.773,0.773,0.1546,0.24736,0,0,0.5953947,0.5953947,0.11907894,0.190526304,0,12,227,215,97.6,102.72,12,Ni2+1 Si4+1 O2-3,-2,4,6,3.380617019
CdPrO3,Cd,Pr,4.474,4.474,4.474,90,90,90,0,cubic,17.914,0.211,-1.452,-3.287,0.831,Cd1 Pr1 O3,8,59,51,26.2,21.84,8,17,87,70,69.6,21.04,87,15.9994,140.90765,124.90825,60.26337,53.116764,15.9994,54.8,1204,1149.2,392.524,405.2688,54.8,3,16,13,12.6,4.08,16,2,6,4,3.4,1.68,2,66,203,137,109,51.6,66,1.13,3.44,2.31,2.628,0.9744,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,10,10,2,3.2,0,0,3,3,0.6,0.96,0,5,12,7,7,2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,11,11,2.2,3.52,0,0,11,11,3.4,3.04,2,9.105,35.675,26.57,16.497,8.8704,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,Cd2+1 Pr4+1 O2-3,-2,4,6,3.380617019
TbPtO3,Tb,Pt,4.013,4.013,4.013,90,90,90,0,cubic,12.925,0,-1.451,-0.464,0.677,Tb1 Pt1 O3,8,78,70,33.4,30.48,8,29,87,58,70.6,19.68,87,15.9994,195.084,179.0846,80.40151,77.282532,15.9994,54.8,2041.4,1986.6,766.96,854.592,54.8,3,16,13,12.2,4.56,16,2,6,4,3.6,1.92,2,66,194,128,105.6,47.52,66,1.21,3.44,2.23,2.762,0.8136,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,9,9,1.8,2.88,0,0,14,14,4.6,5.52,0,6,24,18,10.6,5.52,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,1,1,0.2,0.32,0,0,5,5,1,1.6,0,2,5,3,2.6,0.96,2,9.105,31.73666667,22.63166667,14.81433333,6.8512,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Tb4+1 Pt2+1 O2-3,-2,4,6,3.380617019
FeTmO3,Fe,Tm,4.187,4.187,4.187,90,90,90,0,cubic,14.675,1.003,-1.45,-4.947,1.373,Fe1 Tm1 O3,8,69,61,23.8,18.96,8,37,87,50,70.6,19.68,87,15.9994,168.93421,152.93481,54.555482,46.2672984,15.9994,54.8,1818,1763.2,758.68,844.656,54.8,3,16,13,11.8,5.04,16,2,6,4,3.2,1.44,2,66,190,124,104,45.6,66,1.25,3.44,2.19,2.68,0.912,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,6,6,1.2,1.92,0,0,13,13,2.6,4.16,0,6,15,9,8.2,2.72,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,4,4,0.8,1.28,0,0,1,1,0.2,0.32,0,1,4,3,2.2,0.72,2,9.105,29.78,20.675,13.565,6.486,9.105,0,0,0,0,0,0,0,2.1106628,2.1106628,0.42213256,0.675412096,0,12,229,217,91.8,95.76,12,Fe3+1 Tm3+1 O2-3,-2,3,5,3.273268354
PtSrO3,Pt,Sr,6.063,6.063,6.063,61.2,61.2,61.2,0.793,rhombohedral,16.181,0,-1.45,-11.566,0.258,Pt1 Sr1 O3,8,78,70,28,24,8,8,87,79,66.4,24.72,87,15.9994,195.084,179.0846,66.14044,60.169248,15.9994,54.8,2041.4,1986.6,651.16,715.632,54.8,2,16,14,12,4.8,16,2,6,4,3.4,1.68,2,66,195,129,105.8,47.76,66,0.95,3.44,2.49,2.71,0.876,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,9,9,1.8,2.88,0,0,14,14,2.8,4.48,0,2,24,22,8.8,6.08,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,1,1,0.2,0.32,0,0,0,0,0,0,0,0,2,2,1.6,0.64,2,9.105,54.23,45.125,19.313,13.9668,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,97.2,102.24,12,Pt4+1 Sr2+1 O2-3,-2,4,6,3.380617019
RhNpO3,Rh,Np,4.226,4.226,4.226,90,90,90,0,cubic,15.091,0.765,-1.449,0.344,1.089,Rh1 Np1 O3,8,93,85,32.4,29.28,8,22,87,65,68.4,22.32,87,15.9994,237,221.0006,77.58074,73.897608,15.9994,54.8,2237,2182.2,663.68,730.656,54.8,3,16,13,12,4.8,16,2,7,5,3.6,1.92,2,66,190,124,106,48,66,1.36,3.44,2.08,2.792,0.7776,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,8,8,1.8,2.48,0,0,4,4,0.8,1.28,0,6,9,3,6.8,0.96,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,9,9,2.2,2.72,0,0,10,10,2,3.2,0,2,19,17,5.6,5.36,2,9.105,18.45375,9.34875,11.88175,3.3321,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,64.6,64.16,12,Rh3+1 Np3+1 O2-3,-2,3,5,3.273268354
YTeO3,Y,Te,4.233,4.233,4.233,90,90,90,0,cubic,15.173,0.01,-1.446,1.033,1.093,Y1 Te1 O3,8,52,44,23,18,8,12,90,78,72.6,24.24,87,15.9994,127.6,111.6006,52.90081,44.281692,15.9994,54.8,1799,1744.2,537.212,578.8944,54.8,3,16,13,13.4,4.16,16,2,5,3,3.2,1.44,2,66,190,124,105.2,47.04,66,1.22,3.44,2.22,2.728,0.8544,3.44,2,2,0,2,0,2,0,4,4,3.2,1.28,4,0,10,10,2.2,3.12,0,0,0,0,0,0,0,3,16,13,7.4,3.44,6,0,0,0,0,0,0,0,2,2,1.6,0.64,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,2,9,7,3.4,2.24,2,9.105,34.76333333,25.65833333,18.88866667,11.7404,9.105,0,0.464,0.464,0.0928,0.14848,0,0,0,0,0,0,0,12,194,182,76.4,77.28,12,Y0+1 Te0+1 O0+3,0,0,0,0
RbMnO3,Rb,Mn,3.64,3.64,5.452,90,90,90,0,tetragonal,14.447,0.4,-1.445,-1.514,0.293,Rb1 Mn1 O3,8,37,29,17.2,11.04,8,4,87,83,63.4,28.32,87,15.9994,85.4678,69.4684,37.680809,26.0176908,15.9994,54.8,1519,1464.2,399.172,447.9312,54.8,1,16,15,11.2,5.76,16,2,5,3,3,1.2,2,66,220,154,111.4,54.48,66,0.82,3.44,2.62,2.538,1.0824,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,1,7,6,5.2,1.68,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,1,5,4,2.4,1.04,2,9.105,90.7225,81.6175,25.70501724,26.0069931,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,229,217,96.4,101.28,12,Rb0+1 Mn0+1 O0+3,0,0,0,0
BePuO3,Be,Pu,4.279,4.279,4.279,90,90,90,0,cubic,15.673,0.69,-1.444,-1.6,1.699,Be1 Pu1 O3,4,94,90,24.4,27.84,8,24,87,63,70.4,19.92,87,9.012182,244,234.987818,60.2020764,73.51916944,15.9994,54.8,1560,1505.2,527.48,567.216,54.8,2,16,14,10.6,6.48,16,2,7,5,3,1.6,2,66,187,121,96.2,36.32,66,1.28,3.44,2.16,2.634,0.9672,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,0,0,0,0,0,0,6,6,1.2,1.92,0,2,8,6,5.6,1.44,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,8,8,1.6,2.56,0,0,8,8,2.8,2.08,2,7.89,18.08,10.19,10.657,2.9692,9.105,0,0,0,0,0,0,0,0.318003638,0.318003638,0.063600728,0.101761164,0,11,194,183,48.2,58.32,12,Be2+1 Pu4+1 O2-3,-2,4,6,3.380617019
